[2023-07-28T10:47:09.893579+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\NotificationController::findLastUnreadAction [2,"pimcore_admin_notification_findlastunread",[],{"lastUpdate":"1690534000"}] []
[2023-07-28T10:47:09.908513+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\TranslationController::addAdminTranslationKeysAction [2,"pimcore_admin_translation_addadmintranslationkeys",[],{"keys":"[\"SEO\"]"}] []
[2023-07-28T10:47:39.884204+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\NotificationController::findLastUnreadAction [2,"pimcore_admin_notification_findlastunread",[],{"lastUpdate":"1690534029"}] []
[2023-07-28T10:48:56.853700+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\MiscController::pingAction [2,"pimcore_admin_misc_ping",[],[]] []
[2023-07-28T10:48:59.345683+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\IndexController::indexAction [2,"pimcore_admin_index",[],[]] []
[2023-07-28T10:48:59.489521+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\UserController::getImageAction [2,"pimcore_admin_user_getimage",[],[]] []
[2023-07-28T10:48:59.629572+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\MiscController::adminCssAction [2,"pimcore_admin_misc_admincss",[],[]] []
[2023-07-28T10:48:59.647414+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\MiscController::jsonTranslationsSystemAction [2,"pimcore_admin_misc_jsontranslationssystem",[],{"language":"en"}] []
[2023-07-28T10:48:59.700613+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\UserController::getCurrentUserAction [2,"pimcore_admin_user_getcurrentuser",[],[]] []
[2023-07-28T10:48:59.746958+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\MiscController::availableLanguagesAction [2,"pimcore_admin_misc_availablelanguages",[],[]] []
[2023-07-28T10:48:59.827168+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\MiscController::scriptProxyAction [2,"pimcore_admin_misc_scriptproxy",[],{"storageFile":"minified_javascript_core_d41d8cd98f00b20..."}] []
[2023-07-28T10:49:00.983778+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\SettingsController::displayCustomLogoAction [2,"pimcore_settings_display_custom_logo",[],[]] []
[2023-07-28T10:49:01.023200+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\Document\DocumentController::treeGetRootAction [2,"pimcore_admin_document_document_treegetroot",[],{"id":"1","view":"","elementType":"document"}] []
[2023-07-28T10:49:01.050031+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\PortalController::dashboardListAction [2,"pimcore_admin_portal_dashboardlist",[],[]] []
[2023-07-28T10:49:01.065136+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\Asset\AssetController::treeGetRootAction [2,"pimcore_admin_asset_treegetroot",[],{"id":"1","view":"","elementType":"asset"}] []
[2023-07-28T10:49:01.086647+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\DataObject\DataObjectController::treeGetRootAction [2,"pimcore_admin_dataobject_dataobject_treegetroot",[],{"id":"","view":"","elementType":"object"}] []
[2023-07-28T10:49:01.131300+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\NotificationController::findLastUnreadAction [2,"pimcore_admin_notification_findlastunread",[],{"lastUpdate":"1690534140"}] []
[2023-07-28T10:49:01.196546+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\DataObject\ClassController::getTreeAction [2,"pimcore_admin_dataobject_class_gettree",[],{"createAllowed":"true","page":"1","start":"0","limit":"25"}] []
[2023-07-28T10:49:01.220749+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\Document\DocumentController::docTypesGetAction [2,"pimcore_admin_document_document_doctypesget",[],{"xaction":"read","page":"1","start":"0","limit":"25"}] []
[2023-07-28T10:49:01.238330+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\SettingsController::getAvailableSitesAction [2,"pimcore_admin_settings_getavailablesites",[],{"page":"1","start":"0","limit":"25"}] []
[2023-07-28T10:49:01.255968+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\DataObject\ClassController::getTreeAction [2,"pimcore_admin_dataobject_class_gettree",[],{"page":"1","start":"0","limit":"25"}] []
[2023-07-28T10:49:01.275337+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\SettingsController::getAvailableAdminLanguagesAction [2,"pimcore_admin_settings_getavailableadminlanguages",[],{"page":"1","start":"0","limit":"25"}] []
[2023-07-28T10:49:01.495745+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\DataObject\DataObjectController::treeGetChildrenByIdAction [2,"pimcore_admin_dataobject_dataobject_treegetchildrenbyid",[],{"limit":"30","view":"","parentPath":"/","page":"1","start":"0","node":"1"}] []
[2023-07-28T10:49:02.172898+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\Document\PageController::getDataByIdAction [2,"pimcore_admin_document_page_getdatabyid",[],{"id":"1"}] []
[2023-07-28T10:49:02.692456+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\MiscController::jsonTranslationsSystemAction [2,"pimcore_admin_misc_jsontranslationssystem",[],{"language":"en"}] []
[2023-07-28T10:49:06.281944+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\IndexController::statisticsAction [2,"pimcore_admin_index_statistics",[],[]] []
[2023-07-28T10:49:30.700895+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\NotificationController::findLastUnreadAction [2,"pimcore_admin_notification_findlastunread",[],{"lastUpdate":"1690534141"}] []
[2023-07-28T10:50:00.687193+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\NotificationController::findLastUnreadAction [2,"pimcore_admin_notification_findlastunread",[],{"lastUpdate":"1690534170"}] []
[2023-07-28T10:50:28.416661+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\ElementController::unlockElementAction [2,"pimcore_admin_element_unlockelement",[],{"id":"1","type":"document"}] []
[2023-07-28T10:50:28.439521+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\Document\PageController::removeFromSessionAction [2,"pimcore_admin_document_page_removefromsession",[],{"id":"1"}] []
[2023-07-28T10:50:28.899286+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\Document\PageController::getDataByIdAction [2,"pimcore_admin_document_page_getdatabyid",[],{"id":"1"}] []
[2023-07-28T10:50:29.385943+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\MiscController::jsonTranslationsSystemAction [2,"pimcore_admin_misc_jsontranslationssystem",[],{"language":"en"}] []
[2023-07-28T10:50:30.679958+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\NotificationController::findLastUnreadAction [2,"pimcore_admin_notification_findlastunread",[],{"lastUpdate":"1690534200"}] []
[2023-07-28T10:50:43.754122+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\MiscController::getValidFilenameAction [2,"pimcore_admin_misc_getvalidfilename",[],{"value":"About","type":"document"}] []
[2023-07-28T10:50:43.801460+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\Document\DocumentController::addAction [2,"pimcore_admin_document_document_add",[],{"title":"About","name":"About","key":"About","type":"page","docTypeId":"false","elementType":"document","index":"0","parentId":"1"}] []
[2023-07-28T10:50:43.943778+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\Document\PageController::getDataByIdAction [2,"pimcore_admin_document_page_getdatabyid",[],{"id":"2"}] []
[2023-07-28T10:50:43.984481+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\Document\DocumentController::treeGetChildrenByIdAction [2,"pimcore_admin_document_document_treegetchildrenbyid",[],{"limit":"50","view":"","page":"1","start":"0","node":"1"}] []
[2023-07-28T10:50:44.417376+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\MiscController::jsonTranslationsSystemAction [2,"pimcore_admin_misc_jsontranslationssystem",[],{"language":"en"}] []
[2023-07-28T10:50:50.485285+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\MiscController::getValidFilenameAction [2,"pimcore_admin_misc_getvalidfilename",[],{"value":"Project","type":"document"}] []
[2023-07-28T10:50:50.544656+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\Document\DocumentController::addAction [2,"pimcore_admin_document_document_add",[],{"title":"Project","name":"Project","key":"Project","type":"page","docTypeId":"false","elementType":"document","index":"1","parentId":"1"}] []
[2023-07-28T10:50:50.656577+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\Document\PageController::getDataByIdAction [2,"pimcore_admin_document_page_getdatabyid",[],{"id":"3"}] []
[2023-07-28T10:50:50.677498+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\Document\DocumentController::treeGetChildrenByIdAction [2,"pimcore_admin_document_document_treegetchildrenbyid",[],{"limit":"50","view":"","fromPaging":"0","start":"0","page":"1","node":"1"}] []
[2023-07-28T10:50:51.095135+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\MiscController::jsonTranslationsSystemAction [2,"pimcore_admin_misc_jsontranslationssystem",[],{"language":"en"}] []
[2023-07-28T10:51:00.086486+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\MiscController::getValidFilenameAction [2,"pimcore_admin_misc_getvalidfilename",[],{"value":"Product","type":"document"}] []
[2023-07-28T10:51:00.146480+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\Document\DocumentController::addAction [2,"pimcore_admin_document_document_add",[],{"title":"Product","name":"Product","key":"Product","type":"page","docTypeId":"false","elementType":"document","index":"2","parentId":"1"}] []
[2023-07-28T10:51:00.251827+02:00] admin_statistics.INFO: Pimcore\Bundle\AdminBundle\Controller\Admin\Document\PageController::getDataByIdAction [2,"pimcore_admin_document_page_getdatabyid",[],{"id":"4"}] []
